id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,quit
983352,sales,junior,medium,3,no,no,1,26400,no
287602,hr,sinior,high,3,no,no,5,73200,no
975666,hr,sinior,medium,6,no,no,5,61200,no
698069,marketing,middle,low,6,no,no,3,30000,no
190768,sales,junior,medium,1,no,yes,3,25200,no
496732,technology,junior,medium,3,no,no,4,31200,no
430622,marketing,middle,medium,5,no,no,1,39600,no
165844,sales,middle,high,2,no,no,4,52800,no
337975,technology,junior,medium,1,no,no,5,31200,no
711064,hr,middle,medium,4,no,no,5,36000,no
293126,purchasing,junior,medium,2,no,no,5,22800,no
540780,sales,sinior,high,7,no,yes,3,78000,no
682322,purchasing,junior,high,2,no,no,3,37200,yes
208186,hr,middle,medium,6,no,no,1,33600,no
547228,hr,middle,low,2,yes,no,3,30000,no
139459,marketing,middle,medium,4,no,no,3,46800,no
450126,marketing,middle,high,3,yes,no,4,52800,no
318373,sales,junior,low,1,no,yes,2,12000,yes
334832,marketing,junior,low,1,no,no,4,16800,no
310951,technology,junior,medium,2,no,no,4,31200,no
530528,technology,junior,medium,4,no,no,4,27600,no
262471,purchasing,middle,medium,5,no,yes,2,43200,no
595287,technology,middle,low,8,no,no,3,27600,no
959885,technology,sinior,medium,5,no,no,3,54000,no
327657,purchasing,middle,low,5,no,no,4,24000,no
618017,sales,middle,low,7,no,no,4,24000,no
429856,technology,junior,medium,1,no,no,3,31200,yes
325743,marketing,middle,medium,5,no,no,4,46800,no
873412,technology,junior,medium,2,no,no,4,31200,no
921999,marketing,junior,high,2,no,no,4,38400,no
701274,sales,sinior,medium,9,no,no,3,44400,no
490162,purchasing,junior,medium,1,no,no,4,30000,yes
831337,sales,middle,low,4,no,no,2,22800,no
165264,marketing,middle,low,4,no,no,3,30000,no
592352,technology,junior,medium,1,no,no,5,34800,no
594726,sales,junior,medium,1,no,no,3,24000,yes
728657,sales,middle,low,3,no,no,3,22800,yes
182219,marketing,junior,medium,2,no,no,3,31200,no
893998,technology,junior,medium,1,no,no,3,34800,yes
360653,technology,junior,low,2,no,no,3,22800,yes
759353,technology,middle,medium,6,no,no,2,38400,no
180406,sales,sinior,high,2,no,no,4,64800,no
765542,purchasing,sinior,medium,4,no,yes,3,57600,no
630300,hr,junior,low,1,no,no,4,20400,no
681227,hr,junior,low,2,no,no,3,19200,yes
406825,purchasing,middle,medium,2,no,no,4,39600,no
962152,technology,junior,low,1,no,no,4,19200,yes
333540,sales,middle,low,3,no,no,4,19200,no
948157,sales,junior,medium,2,no,yes,3,20400,yes
976650,hr,junior,high,3,no,no,5,37200,no
219281,sales,junior,low,1,no,yes,3,12000,yes
748510,technology,middle,low,5,no,no,3,32400,no
592970,hr,junior,low,2,no,no,4,20400,no
299609,sales,middle,low,6,no,no,4,19200,no
244938,marketing,middle,medium,3,no,no,3,40800,no
847141,sales,middle,low,5,no,no,4,19200,no
150167,sales,junior,medium,1,no,no,5,27600,no
469267,hr,junior,medium,2,no,no,3,22800,yes
800830,marketing,middle,medium,6,no,no,4,46800,no
800917,hr,middle,medium,6,no,yes,2,43200,no
862815,sales,junior,high,1,no,no,4,37200,no
344668,technology,junior,high,1,no,no,4,46800,yes
474550,sales,middle,low,8,no,no,4,19200,no
749683,sales,middle,low,8,no,no,4,19200,no
326732,technology,junior,low,1,no,no,5,24000,no
394155,hr,middle,medium,1,no,no,3,34800,no
677952,marketing,junior,medium,4,no,no,4,31200,no
527044,sales,middle,low,5,no,no,3,18000,no
767664,marketing,middle,high,6,no,no,3,54000,no
572684,hr,junior,medium,4,no,no,1,21600,no
590713,technology,sinior,medium,7,no,no,5,73200,no
590735,technology,sinior,medium,9,no,no,5,72000,no
920189,marketing,middle,medium,8,no,no,4,40800,no
395027,marketing,middle,medium,6,no,no,5,36000,no
140236,technology,junior,low,2,no,no,4,19200,no
142402,marketing,junior,high,2,no,no,2,33600,yes
982606,sales,junior,low,2,no,no,5,19200,no
994920,sales,middle,medium,7,no,no,2,31200,no
199793,technology,junior,medium,1,no,no,4,34800,no
391260,marketing,middle,medium,6,no,no,4,36000,no
145938,technology,sinior,medium,7,yes,yes,4,62400,no
342717,purchasing,junior,medium,1,no,no,3,25200,no
649622,marketing,middle,low,8,no,no,5,25200,no
674121,technology,junior,medium,3,no,no,3,26400,yes
552263,marketing,middle,high,2,no,no,3,62400,yes
412253,sales,middle,medium,10,no,no,5,38400,no
689526,marketing,middle,low,6,no,no,3,30000,no
913521,sales,junior,medium,1,no,no,4,24000,no
221429,sales,junior,medium,1,no,no,1,20400,yes
633400,purchasing,sinior,medium,7,no,no,4,58800,no
208223,technology,sinior,high,7,no,no,3,94800,no
783850,sales,middle,medium,2,no,no,4,38400,no
423314,sales,junior,low,2,no,no,4,12000,yes
981479,sales,middle,medium,4,no,no,4,38400,no
706151,hr,junior,medium,5,no,no,4,26400,no
500368,purchasing,junior,low,3,no,no,3,18000,no
694599,technology,sinior,high,1,no,no,4,96000,no
231576,hr,middle,low,6,no,no,3,24000,no
652402,sales,junior,medium,5,no,no,3,25200,no
710365,marketing,junior,medium,3,no,no,3,30000,no
493207,marketing,middle,high,6,no,no,4,63600,no
586365,purchasing,middle,medium,7,no,no,4,44400,no
102155,technology,middle,high,8,no,no,4,57600,no
886091,hr,junior,medium,2,no,yes,2,22800,yes
288221,purchasing,middle,high,7,no,no,5,58800,no
269621,sales,middle,high,4,no,no,4,58800,yes
797587,sales,sinior,low,5,no,no,5,39600,no
829516,technology,junior,medium,2,no,no,3,25200,yes
716687,technology,junior,low,2,no,no,5,15600,yes
646839,sales,sinior,high,5,no,no,4,79200,no
629288,sales,middle,high,4,no,no,3,55200,no
129007,hr,middle,medium,2,no,yes,3,44400,no
188635,marketing,middle,high,8,no,no,4,63600,no
254088,technology,middle,low,7,no,yes,3,21600,no
813659,marketing,junior,medium,2,no,no,4,31200,no
885178,hr,junior,low,4,no,no,3,19200,no
786443,purchasing,middle,low,6,no,no,4,19200,no
364235,technology,middle,high,6,no,yes,1,60000,no
969538,purchasing,middle,medium,7,no,no,1,42000,no
231987,sales,junior,medium,2,no,no,3,20400,yes
923719,marketing,middle,medium,7,no,no,5,42000,no
182385,technology,junior,low,1,no,yes,4,19200,yes
665985,sales,middle,high,8,no,no,4,49200,no
172281,marketing,middle,high,7,no,no,1,50400,no
205559,technology,junior,low,2,no,no,3,14400,yes
373741,hr,middle,medium,4,no,no,3,34800,no
712767,marketing,junior,low,2,no,no,3,16800,yes
392933,hr,middle,high,5,no,yes,3,49200,no
924875,sales,middle,medium,6,no,no,3,42000,no
749161,marketing,junior,low,1,no,no,4,14400,no
954218,sales,middle,high,3,no,yes,4,52800,no
323691,purchasing,junior,medium,2,no,no,3,21600,yes
552640,technology,middle,low,9,no,no,3,33600,no
162327,sales,junior,low,1,no,no,3,15600,yes
230379,technology,junior,medium,1,no,no,2,26400,yes
385186,sales,junior,medium,2,no,no,3,21600,yes
206419,sales,sinior,low,3,no,no,3,37200,no
483807,purchasing,junior,low,2,no,yes,2,18000,yes
388298,technology,sinior,low,4,no,no,3,39600,no
102878,hr,middle,low,7,no,no,4,20400,no
692462,purchasing,sinior,medium,6,no,no,4,45600,no
150755,technology,junior,low,4,no,yes,4,15600,yes
740891,technology,junior,low,3,no,no,5,19200,no
316018,hr,junior,low,2,no,no,1,15600,yes
941648,technology,junior,medium,1,no,no,3,26400,yes
654730,technology,middle,high,5,no,yes,3,55200,no
905303,hr,middle,medium,3,no,no,4,46800,no
916095,technology,middle,high,2,no,no,3,60000,no
616233,purchasing,sinior,medium,10,no,yes,2,56400,no
741468,technology,sinior,medium,7,no,no,1,61200,no
438157,marketing,middle,low,7,no,yes,3,19200,no
608274,hr,junior,low,1,no,no,4,13200,yes
783415,technology,sinior,low,10,no,no,3,45600,no
802697,purchasing,sinior,medium,8,no,no,3,45600,no
370688,sales,middle,low,7,no,no,1,27600,no
451941,technology,middle,low,1,no,no,5,28800,no
927104,sales,middle,high,6,no,no,4,52800,no
169650,sales,sinior,high,10,no,no,4,79200,no
305374,hr,junior,medium,3,no,yes,4,27600,no
392449,technology,junior,medium,1,no,no,4,26400,yes
135764,sales,middle,low,3,no,no,4,28800,no
386583,purchasing,junior,medium,1,no,no,4,28800,no
328043,technology,middle,medium,3,no,no,4,51600,no
207021,technology,junior,low,1,no,no,2,14400,yes
312966,purchasing,middle,high,5,yes,no,4,60000,no
362060,sales,junior,low,1,no,no,4,12000,yes
750102,marketing,junior,low,2,no,yes,5,16800,yes
120482,purchasing,middle,medium,4,no,yes,2,32400,no
214377,purchasing,sinior,high,1,yes,no,4,67200,no
251912,hr,junior,low,1,no,yes,4,13200,yes
603021,sales,middle,low,7,no,no,3,19200,no
807927,sales,junior,low,1,no,no,3,12000,yes
189244,marketing,junior,medium,2,no,no,3,27600,yes
226397,sales,middle,medium,2,no,no,3,37200,no
144547,sales,junior,low,1,no,no,3,18000,yes
401856,marketing,middle,medium,4,no,no,2,40800,no
436458,sales,junior,medium,2,no,no,3,24000,yes
182899,hr,junior,medium,5,no,no,3,25200,no
207941,technology,middle,medium,2,no,no,3,49200,no
996377,purchasing,middle,medium,7,no,no,3,38400,no
559531,sales,sinior,medium,7,no,yes,4,58800,no
371000,sales,middle,medium,4,yes,no,1,32400,no
119025,sales,middle,medium,6,no,no,4,38400,no
149984,sales,junior,low,1,no,no,3,14400,yes
911769,sales,junior,low,3,no,no,3,12000,yes
527023,sales,middle,high,9,no,no,5,58800,no
350426,marketing,middle,low,5,no,no,3,25200,no
449388,sales,junior,low,1,no,no,4,12000,yes
409164,sales,junior,medium,2,no,no,4,21600,no
184443,sales,middle,low,6,no,no,4,28800,no
842101,technology,middle,low,8,no,yes,2,21600,no
125627,hr,junior,low,2,no,no,4,13200,yes
392165,purchasing,junior,low,1,no,yes,3,12000,yes
114639,technology,junior,low,1,no,no,2,14400,yes
514296,technology,middle,medium,5,no,no,3,44400,yes
664644,sales,middle,medium,5,no,no,5,43200,no
307489,sales,middle,medium,9,no,no,2,42000,no
638931,technology,sinior,high,10,no,no,4,88800,no
397894,sales,middle,medium,2,yes,no,3,43200,no
277605,purchasing,middle,high,7,no,no,1,51600,no
474984,technology,middle,low,2,no,no,5,34800,no
271418,sales,middle,medium,6,no,no,4,33600,no
748098,technology,junior,medium,1,no,no,5,31200,no
482717,marketing,middle,medium,7,no,no,4,36000,no
805062,sales,junior,low,1,no,no,4,15600,no
126058,technology,middle,low,6,no,no,1,32400,no
311754,sales,middle,low,5,no,no,4,19200,no
116852,sales,junior,low,1,no,no,4,12000,yes
226277,technology,junior,medium,1,no,no,4,36000,yes
683433,technology,middle,medium,2,no,no,3,38400,no
552289,marketing,middle,high,8,no,no,4,58800,no
795056,sales,middle,low,5,no,no,3,27600,no
429344,marketing,middle,high,4,no,no,3,55200,no
327229,marketing,middle,medium,9,no,no,3,42000,no
931776,sales,junior,low,2,no,no,3,12000,yes
127608,sales,junior,low,1,no,no,3,12000,yes
509370,technology,middle,low,9,no,no,4,22800,no
634688,marketing,junior,medium,2,no,no,2,24000,yes
576016,sales,junior,medium,2,no,no,4,27600,no
679012,technology,junior,medium,3,no,no,4,26400,no
495264,hr,middle,medium,6,no,no,4,34800,no
166460,sales,junior,low,1,no,no,3,15600,yes
332230,hr,middle,medium,4,no,no,5,46800,no
710263,purchasing,middle,high,3,no,no,4,49200,yes
273400,technology,junior,medium,1,no,no,1,25200,yes
638336,sales,middle,high,7,no,yes,2,46800,no
375947,sales,middle,high,2,no,no,4,58800,no
429914,sales,sinior,high,3,no,no,4,78000,no
318030,hr,middle,medium,2,no,no,4,36000,no
804187,technology,sinior,medium,7,no,no,1,68400,no
417202,purchasing,middle,high,3,no,no,3,51600,no
832316,sales,junior,low,4,no,yes,4,12000,no
225583,sales,middle,medium,1,no,no,3,38400,no
459290,sales,junior,medium,3,no,no,5,28800,no
740852,technology,sinior,high,8,no,no,4,96000,no
108359,hr,junior,medium,1,no,no,4,31200,no
931260,technology,junior,medium,2,no,no,4,26400,no
746771,sales,junior,medium,2,no,no,2,26400,no
185931,technology,junior,medium,1,no,no,3,31200,yes
447096,sales,junior,medium,2,no,no,3,24000,no
615793,sales,junior,medium,1,no,no,3,20400,yes
705740,marketing,sinior,medium,10,no,no,1,52800,no
290202,sales,junior,medium,1,no,no,3,20400,yes
878330,sales,junior,high,1,no,no,3,36000,yes
389318,technology,middle,high,4,no,no,4,69600,no
741857,sales,middle,medium,8,no,no,3,42000,no
274010,sales,junior,low,3,no,no,3,18000,no
103834,sales,junior,high,4,no,no,4,33600,no
418601,technology,junior,low,1,no,no,4,24000,yes
502008,sales,sinior,medium,9,no,no,4,45600,no
592559,sales,middle,low,3,no,no,4,28800,no
268233,purchasing,junior,medium,1,no,no,4,30000,no
144331,technology,junior,low,1,no,yes,3,21600,yes
710623,hr,junior,medium,1,no,yes,3,22800,yes
593305,purchasing,junior,medium,1,no,no,5,26400,no
439618,purchasing,junior,low,2,no,no,3,15600,yes
669710,sales,junior,medium,1,no,no,5,28800,no
307811,marketing,middle,low,5,no,no,4,26400,no
416529,sales,junior,medium,1,no,no,2,27600,yes
773380,sales,junior,medium,1,no,no,3,20400,yes
828211,technology,sinior,high,3,no,no,3,78000,no
233587,technology,junior,low,1,no,no,3,14400,yes
964619,marketing,middle,low,6,no,no,4,25200,no
683852,marketing,junior,low,2,no,no,4,20400,no
625643,technology,junior,medium,5,no,no,3,31200,no
512855,purchasing,junior,low,1,no,no,4,15600,yes
618546,technology,middle,low,5,no,yes,4,28800,no
780225,hr,middle,medium,6,no,no,5,36000,no
978553,technology,junior,medium,2,no,no,3,26400,yes
191966,sales,junior,low,2,no,no,3,12000,yes
791319,hr,middle,high,8,no,no,4,56400,no
935029,sales,middle,low,5,no,no,2,27600,no
973071,sales,sinior,medium,6,no,no,4,58800,no
180125,sales,middle,medium,8,no,no,4,43200,no
976652,hr,junior,medium,1,no,no,1,22800,yes
862669,sales,middle,medium,5,no,no,4,43200,no
506954,technology,junior,high,1,no,yes,3,40800,yes
974747,purchasing,middle,medium,8,no,no,3,37200,no
413525,technology,middle,medium,9,no,no,4,45600,no
539082,hr,middle,medium,6,no,no,5,42000,no
756444,sales,middle,medium,3,no,no,3,42000,no
812082,technology,middle,medium,6,no,no,4,45600,no
514849,hr,junior,medium,3,no,yes,3,30000,yes
417561,technology,junior,low,3,no,no,1,14400,yes
599691,purchasing,junior,low,2,no,no,4,13200,yes
197871,purchasing,junior,low,1,no,no,3,15600,yes
815241,hr,sinior,medium,4,yes,no,4,61200,no
138213,hr,middle,low,5,no,no,3,25200,no
213508,hr,middle,low,5,no,no,3,24000,no
658336,technology,junior,low,2,no,no,2,22800,yes
559780,sales,middle,medium,6,no,no,3,37200,no
222657,technology,middle,medium,5,no,no,2,44400,no
889626,technology,junior,medium,2,no,yes,2,33600,yes
510507,marketing,junior,medium,1,no,no,3,24000,yes
829190,marketing,middle,medium,5,no,no,4,40800,yes
171652,hr,middle,high,4,no,yes,4,62400,yes
276075,technology,junior,medium,2,no,no,4,34800,yes
660086,sales,junior,medium,2,no,no,4,27600,no
851468,sales,junior,medium,1,no,no,5,25200,no
354337,sales,junior,medium,1,no,yes,3,20400,yes
570070,sales,junior,low,1,no,no,4,15600,yes
226751,sales,junior,medium,2,no,no,5,27600,no
803491,technology,junior,medium,2,no,no,4,31200,no
644577,hr,junior,medium,1,no,no,4,30000,yes
415825,sales,junior,high,2,no,no,5,32400,yes
721658,marketing,middle,high,8,no,no,4,58800,no
365128,technology,junior,medium,1,no,no,4,34800,no
508214,technology,junior,low,2,no,no,5,22800,no
707898,sales,middle,medium,2,no,yes,2,42000,no
453616,sales,middle,medium,2,no,no,4,38400,no
714894,sales,junior,medium,1,no,no,3,26400,no
408077,technology,middle,medium,4,no,no,3,38400,no
644634,sales,junior,medium,1,no,yes,2,26400,yes
379842,sales,middle,medium,7,no,no,5,38400,no
392790,marketing,junior,medium,2,no,no,3,22800,yes
328437,marketing,junior,medium,1,no,yes,3,26400,yes
537166,marketing,junior,medium,2,no,no,3,26400,no
362474,marketing,middle,low,5,no,no,3,24000,no
758900,purchasing,junior,medium,2,no,no,4,22800,no
854897,marketing,middle,low,5,no,no,5,21600,no
639087,technology,junior,medium,1,no,no,5,34800,no
495222,sales,middle,medium,5,no,no,1,37200,no
726042,sales,junior,low,1,no,no,4,15600,yes
842713,sales,middle,medium,7,no,no,4,43200,no
336426,purchasing,middle,medium,3,no,yes,2,43200,no
243255,technology,middle,high,5,no,yes,2,56400,no
861258,purchasing,junior,low,1,no,no,4,19200,yes
937474,hr,junior,medium,1,no,no,5,30000,no
336465,technology,junior,medium,1,no,no,5,34800,no
590315,technology,middle,medium,3,no,no,3,49200,no
806839,marketing,junior,low,2,no,no,4,20400,no
697519,hr,sinior,medium,2,no,yes,4,62400,no
854473,purchasing,junior,low,2,no,no,4,12000,yes
114682,marketing,middle,high,8,no,no,3,55200,no
909278,sales,junior,medium,1,no,no,3,24000,yes
496478,purchasing,middle,low,4,no,no,4,24000,no
200456,technology,junior,low,1,no,no,5,22800,yes
552227,sales,junior,low,2,no,no,3,12000,yes
333494,hr,junior,medium,2,no,no,3,26400,no
650877,sales,middle,medium,2,yes,no,5,43200,no
443503,technology,junior,medium,3,no,no,3,25200,yes
525488,sales,middle,medium,4,no,no,4,38400,no
578250,sales,junior,medium,1,no,no,4,24000,no
593390,technology,middle,medium,9,no,no,1,49200,no
631629,sales,middle,medium,9,no,no,3,33600,no
615405,sales,junior,low,2,no,no,3,12000,yes
881491,technology,middle,medium,7,no,no,4,40800,no
787475,technology,junior,low,1,no,yes,3,14400,yes
640950,marketing,middle,high,2,no,no,3,51600,no
647592,hr,middle,high,4,no,no,2,58800,no
425299,purchasing,middle,medium,2,no,no,2,37200,no
759794,sales,junior,medium,1,no,no,4,27600,no
386525,technology,junior,low,1,no,no,2,14400,yes
288469,sales,junior,high,2,no,no,4,31200,no
812175,hr,junior,medium,1,no,no,5,26400,no
295190,technology,middle,high,8,no,no,4,68400,no
195277,technology,middle,medium,6,no,no,5,52800,no
307761,sales,junior,medium,1,no,no,4,24000,no
148593,technology,middle,high,9,no,yes,3,55200,no
746526,sales,junior,medium,4,no,no,1,20400,no
102639,purchasing,junior,low,1,no,no,1,15600,yes
130650,sales,junior,low,1,no,no,3,14400,yes
201959,purchasing,junior,medium,5,no,no,4,21600,no
406520,sales,junior,low,2,no,yes,3,12000,yes
863129,marketing,middle,medium,8,no,no,3,46800,no
414177,sales,middle,medium,3,no,yes,4,33600,no
680918,hr,middle,medium,4,no,no,4,40800,no
647703,sales,sinior,low,8,no,no,4,26400,no
504812,purchasing,junior,medium,1,no,yes,4,22800,yes
945165,purchasing,middle,low,7,no,yes,4,19200,no
357258,sales,junior,medium,2,no,no,2,24000,no
156170,sales,middle,low,6,no,no,4,28800,no
257868,technology,middle,medium,2,no,no,3,38400,no
917827,marketing,junior,medium,2,no,no,3,22800,yes
925029,marketing,junior,medium,4,no,no,4,28800,no
238242,sales,junior,high,2,no,no,5,34800,no
546166,hr,junior,medium,5,no,no,2,22800,no
364162,technology,junior,medium,2,no,no,3,33600,no
755212,marketing,middle,low,8,no,no,4,25200,no
568819,hr,junior,medium,4,no,no,4,30000,no
384953,purchasing,junior,low,3,no,no,2,15600,yes
877997,technology,middle,low,5,yes,yes,2,33600,no
900370,technology,middle,low,3,no,no,4,33600,no
133029,technology,middle,low,6,no,no,5,28800,no
516026,hr,junior,medium,2,no,no,4,30000,no
954404,marketing,sinior,medium,1,no,no,4,55200,no
525798,sales,middle,low,7,no,no,5,28800,no
130141,sales,junior,low,3,no,no,4,15600,no
833758,sales,middle,medium,1,no,no,4,38400,no
906335,marketing,sinior,high,6,no,no,4,70800,no
596340,sales,sinior,medium,8,no,no,3,51600,no
273561,technology,junior,medium,2,no,no,3,26400,yes
692365,sales,junior,low,2,no,no,4,18000,no
149259,sales,middle,high,6,no,no,4,52800,no
203448,technology,middle,high,2,yes,no,3,55200,no
885332,sales,junior,medium,1,no,no,4,21600,yes
706881,technology,junior,medium,3,no,no,3,34800,no
621249,sales,junior,medium,2,no,yes,3,24000,yes
781810,hr,middle,medium,2,no,yes,3,39600,no
242918,sales,junior,low,2,no,no,3,18000,yes
886844,sales,middle,low,5,no,no,4,24000,no
292223,sales,middle,medium,4,no,no,4,38400,no
467216,marketing,junior,low,2,no,yes,2,16800,yes
103635,technology,junior,medium,2,no,no,4,27600,no
947289,sales,junior,low,5,no,yes,3,18000,yes
822815,technology,junior,medium,1,no,no,4,26400,no
326307,sales,junior,low,1,no,no,3,14400,yes
675769,hr,junior,medium,3,no,no,4,26400,no
505592,technology,junior,medium,1,no,yes,4,31200,yes
943156,sales,middle,medium,5,no,no,3,36000,no
775186,marketing,middle,medium,4,no,no,4,48000,no
800579,technology,junior,medium,2,no,no,4,31200,no
284819,marketing,middle,high,2,no,no,2,50400,no
453479,marketing,middle,low,6,no,no,3,25200,no
340978,sales,junior,medium,4,no,no,2,24000,no
919407,marketing,junior,medium,1,no,no,4,25200,yes
458347,sales,junior,medium,2,no,no,3,24000,yes
353465,technology,middle,high,7,no,no,4,62400,no
184957,sales,junior,medium,1,no,yes,4,24000,no
111791,purchasing,middle,medium,7,no,no,4,39600,no
752747,sales,junior,medium,5,no,yes,4,25200,no
150407,marketing,middle,low,5,no,no,4,25200,no
573622,technology,middle,medium,9,no,no,2,49200,no
212890,marketing,middle,low,6,no,no,4,31200,no
736757,sales,junior,medium,3,no,no,4,27600,no
560800,sales,middle,low,4,no,yes,4,28800,no
458933,technology,middle,low,1,no,no,4,22800,no
448763,marketing,junior,medium,2,no,no,4,31200,no
773074,purchasing,junior,medium,2,no,no,4,21600,no
759414,sales,middle,medium,4,no,no,2,40800,no
167234,technology,junior,medium,1,no,no,3,30000,yes
842313,marketing,middle,medium,6,no,no,4,46800,no
908147,technology,junior,medium,2,no,no,3,30000,yes
949422,technology,junior,medium,1,no,no,4,34800,no
707523,marketing,middle,medium,4,no,no,4,46800,no
530685,technology,middle,medium,7,no,yes,1,43200,no
260653,purchasing,middle,low,2,no,no,4,19200,no
173646,sales,junior,low,2,no,no,5,19200,no
205797,sales,junior,high,1,no,no,4,34800,no
118445,marketing,junior,medium,1,no,no,4,27600,no
759268,sales,junior,medium,1,no,no,2,21600,yes
923015,sales,junior,medium,2,no,no,4,27600,no
927854,sales,middle,medium,4,no,yes,4,33600,no
575179,sales,junior,medium,2,no,no,3,21600,yes
577519,technology,middle,medium,2,no,no,3,39600,no
536122,technology,middle,medium,4,no,yes,2,39600,no
505334,technology,junior,medium,1,no,no,5,36000,no
190814,technology,middle,low,7,no,no,5,22800,no
855809,technology,sinior,medium,10,no,no,4,62400,no
883753,purchasing,middle,low,5,no,no,3,24000,no
523054,technology,junior,medium,2,no,no,3,26400,yes
322207,sales,junior,medium,2,no,no,4,21600,no
762042,marketing,junior,low,5,no,yes,3,16800,yes
353309,purchasing,junior,medium,1,no,no,3,21600,yes
727524,technology,middle,medium,9,no,no,3,49200,no
203889,technology,junior,low,2,no,no,5,22800,no
151582,sales,junior,high,1,no,no,5,31200,yes
